delegacia,ano,numero,nAutor,nAutorAcaoFugir,nAutorAcaoAbordagem,nQtdeAutor,nAutorArma,nAutorAcaoCoação,nAutorSubtrair,nAutorAcaoAgressao,N° de Similares,data do teste
10247,2012,800,OK,OK,OK,OK,NOK,NOK,OK,NP,NOK,119,2019-04-12
10248,2016,2031,OK,OK,OK,OK,NOK,NOK,OK,NP,NOK,422,2019-04-12
10311,2014,900,OK,NOK,OK,NOK,NOK,NOK,OK,NP,NOK,457,2019-04-12
10314,2013,6437,OK,NP,OK,NOK,NOK,NOK,OK,NP,NOK,531,2019-04-12
10323,2017,3365,OK,NOK,NOK,NOK,NOK,NOK,OK,NP,NP,5567,2019-04-12
10333,2015,1045,OK,NP,NOK,NOK,NOK,NOK,OK,NP,NP,987,2019-04-12
10336,2015,3559,OK,NP,OK,OK,NOK,NOK,OK,NP,NOK,692,2019-04-12
10342,2012,679,OK,NOK,NOK,NOK,OK,NOK,OK,NP,NOK,4,2019-04-12
10355,2011,3549,OK,NP,OK,OK,NOK,NOK,OK,NP,NOK,476,2019-04-12
10356,2016,2374,OK,NP,NOK,OK,NP,NOK,OK,OK,NOK,30,2019-04-12
10374,2011,2821,OK,NP,NOK,OK,NOK,NP,OK,NP,NP,446,2019-04-12
120212,2017,462,OK,NP,OK,OK,NOK,NOK,OK,NP,NP,7,2019-04-12
130312,2016,5446,OK,NP,NOK,NOK,NOK,NOK,OK,NP,NOK,216,2019-04-12
130324,2011,21,OK,NOK,NOK,NOK,OK,NOK,OK,NP,NP,29,2019-04-12
130415,2016,873,OK,NOK,NOK,OK,NP,NOK,OK,OK,NP,1,2019-04-12
20138,2014,4021,OK,NOK,OK,OK,NOK,NOK,OK,OK,NOK,636,2019-04-12
20139,2013,3234,OK,NP,OK,NOK,OK,NOK,OK,NP,NOK,30,2019-04-12
20242,2013,1753,OK,OK,OK,NOK,NOK,NOK,OK,NP,NOK,81,2019-04-12
20249,2017,5777,OK,NOK,NOK,OK,OK,NOK,OK,NP,NOK,215,2019-04-12
20301,2011,489,OK,NOK,OK,OK,NOK,NOK,OK,NP,NOK,130,2019-04-12
30102,2014,5090,OK,OK,OK,OK,NOK,NOK,OK,NP,NOK,308,2019-04-12
30109,2017,2499,OK,NP,NOK,NOK,NOK,NOK,OK,NP,NOK,489,2019-04-12
30418,2013,6179,OK,NOK,OK,OK,NOK,NOK,OK,OK,NOK,16,2019-04-12
30427,2011,10759,OK,OK,NOK,OK,NOK,NOK,OK,NP,NOK,308,2019-04-12
30427,2016,4598,OK,NP,NOK,OK,OK,NOK,OK,NP,NP,17,2019-04-12
30435,2016,1562,OK,OK,OK,OK,OK,NOK,OK,NP,NOK,164,2019-04-12
30614,2018,842,OK,OK,OK,OK,NOK,NOK,OK,NP,NOK,214,2019-04-12
30616,2016,2624,OK,NOK,NOK,NOK,NOK,NOK,OK,NP,NP,619,2019-04-12
70014,2015,8619,OK,NP,NOK,NP,NP,NOK,OK,OK,NOK,34,2019-04-12
70017,2017,281,OK,NP,OK,OK,NOK,NOK,OK,NP,NOK,246,2019-04-12
70932,2014,2158,OK,NP,OK,OK,OK,NOK,OK,NP,OK,1,2019-04-12
